Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 22, 2021",32601.82,32810.35,32512.53,32731.20,32731.20,383500000.00
"Mar 19, 2021",32858.36,32858.36,32505.07,32627.97,32627.97,811890000.00
"Mar 18, 2021",32928.16,33227.78,32831.25,32862.30,32862.30,418480000.00
"Mar 17, 2021",32825.52,33047.58,32782.18,33015.37,33015.37,391200000.00
"Mar 16, 2021",32966.75,32966.75,32778.23,32825.95,32825.95,386370000.00
"Mar 15, 2021",32798.84,32973.40,32629.75,32953.46,32953.46,360080000.00
"Mar 12, 2021",32462.40,32793.32,32462.40,32778.64,32778.64,346400000.00
"Mar 11, 2021",32354.50,32661.59,32345.70,32485.59,32485.59,400020000.00
"Mar 10, 2021",31906.96,32389.50,31906.96,32297.02,32297.02,409110000.00
"Mar 09, 2021",31892.35,32150.32,31822.64,31832.74,31832.74,458690000.00
"Mar 08, 2021",31512.15,32148.04,31512.15,31802.44,31802.44,496980000.00
"Mar 05, 2021",31029.18,31580.33,30766.81,31496.30,31496.30,501810000.00
"Mar 04, 2021",31289.01,31461.97,30547.53,30924.14,30924.14,537850000.00
"Mar 03, 2021",31352.96,31563.31,31260.14,31270.09,31270.09,409660000.00
"Mar 02, 2021",31535.37,31623.27,31377.16,31391.52,31391.52,337270000.00
"Mar 01, 2021",31065.90,31668.34,31065.90,31535.51,31535.51,385670000.00
"Feb 26, 2021",31401.29,31450.89,30911.37,30932.37,30932.37,532250000.00
"Feb 25, 2021",31955.94,31984.77,31293.32,31402.01,31402.01,454110000.00
"Feb 24, 2021",31499.75,32009.64,31421.29,31961.86,31961.86,410150000.00
"Feb 23, 2021",31501.89,31653.38,31158.76,31537.35,31537.35,460410000.00
"Feb 22, 2021",31381.12,31653.48,31286.57,31521.69,31521.69,387210000.00
"Feb 19, 2021",31504.13,31647.53,31469.34,31494.32,31494.32,353070000.00
"Feb 18, 2021",31558.60,31558.60,31285.32,31493.34,31493.34,325990000.00
"Feb 17, 2021",31485.61,31643.70,31338.76,31613.02,31613.02,343510000.00
"Feb 16, 2021",31472.08,31608.63,31443.48,31522.75,31522.75,329210000.00
"Feb 12, 2021",31420.80,31475.31,31347.80,31458.40,31458.40,263090000.00
"Feb 11, 2021",31466.49,31543.82,31244.36,31430.70,31430.70,280320000.00
"Feb 10, 2021",31428.02,31511.44,31221.32,31437.80,31437.80,326450000.00
"Feb 09, 2021",31359.88,31439.47,31245.86,31375.83,31375.83,308210000.00
"Feb 08, 2021",31191.20,31386.10,31191.20,31385.76,31385.76,322250000.00
"Feb 05, 2021",31093.81,31252.18,31083.22,31148.24,31148.24,293550000.00
"Feb 04, 2021",30737.78,31065.96,30737.78,31055.86,31055.86,338330000.00
"Feb 03, 2021",30689.65,30793.41,30521.31,30723.60,30723.60,305590000.00
"Feb 02, 2021",30276.88,30840.54,30276.88,30687.48,30687.48,333160000.00
"Feb 01, 2021",30054.73,30335.91,30014.97,30211.91,30211.91,347060000.00
"Jan 29, 2021",30553.91,30553.91,29856.30,29982.62,29982.62,536320000.00
"Jan 28, 2021",30377.19,30951.41,30377.19,30603.36,30603.36,465140000.00
"Jan 27, 2021",30893.78,30893.78,30206.91,30303.17,30303.17,566470000.00
"Jan 26, 2021",30968.55,31121.42,30921.71,30937.04,30937.04,373150000.00
"Jan 25, 2021",30989.85,30989.85,30564.06,30960.00,30960.00,472890000.00
"Jan 22, 2021",31141.56,31141.56,30908.47,30996.98,30996.98,436040000.00
"Jan 21, 2021",31198.01,31272.22,31120.92,31176.01,31176.01,418780000.00
"Jan 20, 2021",31017.54,31235.98,30997.79,31188.38,31188.38,384980000.00
"Jan 19, 2021",30887.42,31086.62,30865.03,30930.52,30930.52,386400000.00
"Jan 15, 2021",30926.77,30941.98,30612.67,30814.26,30814.26,433000000.00
"Jan 14, 2021",31085.67,31223.78,30982.24,30991.52,30991.52,427810000.00
"Jan 13, 2021",31084.88,31153.37,30992.05,31060.47,31060.47,413250000.00
"Jan 12, 2021",31015.01,31114.56,30888.76,31068.69,31068.69,362620000.00
"Jan 11, 2021",31015.37,31096.98,30832.06,31008.69,31008.69,356540000.00
"Jan 08, 2021",31069.58,31140.67,30793.27,31097.97,31097.97,381150000.00
"Jan 07, 2021",30901.18,31193.40,30897.86,31041.13,31041.13,427810000.00
"Jan 06, 2021",30362.78,31022.65,30313.07,30829.40,30829.40,500430000.00
"Jan 05, 2021",30204.25,30504.89,30141.78,30391.60,30391.60,350910000.00
"Jan 04, 2021",30627.47,30674.28,29881.82,30223.89,30223.89,475080000.00
"Dec 31, 2020",30417.64,30637.47,30344.50,30606.48,30606.48,284470000.00
"Dec 30, 2020",30415.09,30525.35,30393.04,30409.56,30409.56,291890000.00
"Dec 29, 2020",30492.07,30588.79,30274.24,30335.67,30335.67,357610000.00
"Dec 28, 2020",30283.23,30525.56,30283.23,30403.97,30403.97,302490000.00
"Dec 24, 2020",30155.92,30209.67,30099.30,30199.87,30199.87,145570000.00
"Dec 23, 2020",30046.73,30292.53,30046.73,30129.83,30129.83,274050000.00
"Dec 22, 2020",30200.20,30200.20,29992.89,30015.51,30015.51,388810000.00
"Dec 21, 2020",30159.00,30304.14,29755.53,30216.45,30216.45,437480000.00
"Dec 18, 2020",30314.26,30343.59,30029.44,30179.05,30179.05,782070000.00
"Dec 17, 2020",30216.00,30323.78,30216.00,30303.37,30303.37,345530000.00
"Dec 16, 2020",30191.38,30236.03,30080.11,30154.54,30154.54,344590000.00
"Dec 15, 2020",29919.09,30243.26,29894.95,30199.31,30199.31,417770000.00
"Dec 14, 2020",30123.91,30325.79,29849.15,29861.55,29861.55,371980000.00
"Dec 11, 2020",29988.21,30071.13,29820.84,30046.37,30046.37,393870000.00
"Dec 10, 2020",30032.55,30063.87,29876.82,29999.26,29999.26,325550000.00
"Dec 09, 2020",30229.81,30319.70,29951.85,30068.81,30068.81,380520000.00
"Dec 08, 2020",29997.95,30246.22,29972.07,30173.88,30173.88,311190000.00
"Dec 07, 2020",30233.03,30233.03,29967.22,30069.79,30069.79,365810000.00
"Dec 04, 2020",29989.56,30218.26,29989.56,30218.26,30218.26,356590000.00
"Dec 03, 2020",29920.83,30110.88,29877.27,29969.52,29969.52,405680000.00
"Dec 02, 2020",29695.09,29902.51,29599.29,29883.79,29883.79,385280000.00
"Dec 01, 2020",29797.50,30083.31,29797.50,29823.92,29823.92,429510000.00
"Nov 30, 2020",29854.51,29854.51,29463.64,29638.64,29638.64,551350000.00
"Nov 27, 2020",29911.33,30015.13,29819.98,29910.37,29910.37,177040000.00
"Nov 25, 2020",30058.87,30058.87,29806.25,29872.47,29872.47,323030000.00
"Nov 24, 2020",29746.11,30116.51,29746.11,30046.24,30046.24,432760000.00
"Nov 23, 2020",29332.82,29667.75,29332.82,29591.27,29591.27,387200000.00
"Nov 20, 2020",29437.57,29469.89,29231.20,29263.48,29263.48,305350000.00
"Nov 19, 2020",29370.92,29524.90,29228.38,29483.23,29483.23,331330000.00
"Nov 18, 2020",29875.40,29930.85,29432.84,29438.42,29438.42,382850000.00
"Nov 17, 2020",29800.15,29872.42,29520.29,29783.35,29783.35,372380000.00
"Nov 16, 2020",29672.36,29964.29,29672.36,29950.44,29950.44,418290000.00
"Nov 13, 2020",29203.90,29559.25,29203.90,29479.81,29479.81,348810000.00
"Nov 12, 2020",29231.91,29311.83,28902.13,29080.17,29080.17,369320000.00
"Nov 11, 2020",29524.35,29593.11,29281.22,29397.63,29397.63,376700000.00
"Nov 10, 2020",29254.17,29478.86,29126.99,29420.92,29420.92,526980000.00
"Nov 09, 2020",29467.90,29933.83,29130.66,29157.97,29157.97,673310000.00
"Nov 06, 2020",28399.13,28431.96,28189.50,28323.40,28323.40,326710000.00
"Nov 05, 2020",28083.37,28495.05,28083.37,28390.18,28390.18,390140000.00
"Nov 04, 2020",27512.83,28301.50,27512.83,27847.66,27847.66,447860000.00
"Nov 03, 2020",27138.69,27640.21,27138.69,27480.03,27480.03,350980000.00
"Nov 02, 2020",26691.28,27043.48,26691.28,26925.05,26925.05,379990000.00
"Oct 30, 2020",26572.27,26639.18,26143.77,26501.60,26501.60,504820000.00
"Oct 29, 2020",26480.98,26891.89,26290.78,26659.11,26659.11,419770000.00
"Oct 28, 2020",27102.14,27102.14,26497.39,26519.95,26519.95,496150000.00
"Oct 27, 2020",27651.18,27707.69,27457.96,27463.19,27463.19,366400000.00
"Oct 26, 2020",28185.82,28185.82,27370.16,27685.38,27685.38,404150000.00
"Oct 23, 2020",28409.65,28436.52,28149.82,28335.57,28335.57,347300000.00
"Oct 22, 2020",28197.42,28421.31,28040.18,28363.66,28363.66,330320000.00
"Oct 21, 2020",28270.66,28450.64,28196.39,28210.82,28210.82,299420000.00
"Oct 20, 2020",28245.85,28575.03,28243.04,28308.79,28308.79,350220000.00
"Oct 19, 2020",28633.55,28711.93,28139.40,28195.42,28195.42,358700000.00
"Oct 16, 2020",28570.72,28842.90,28570.72,28606.31,28606.31,356140000.00
"Oct 15, 2020",28323.40,28535.85,28181.54,28494.20,28494.20,328940000.00
"Oct 14, 2020",28731.30,28792.56,28461.73,28514.00,28514.00,370800000.00
"Oct 13, 2020",28764.95,28808.84,28604.35,28679.81,28679.81,526110000.00
"Oct 12, 2020",28671.12,28957.90,28659.67,28837.52,28837.52,493680000.00
"Oct 09, 2020",28533.61,28676.29,28440.63,28586.90,28586.90,324050000.00
"Oct 08, 2020",28348.86,28459.13,28265.56,28425.51,28425.51,314750000.00
"Oct 07, 2020",27971.36,28369.66,27971.36,28303.46,28303.46,328750000.00
"Oct 06, 2020",28214.24,28354.48,27728.03,27772.76,27772.76,435030000.00
"Oct 05, 2020",27825.42,28162.64,27825.42,28148.64,28148.64,318210000.00
"Oct 02, 2020",27536.39,27861.43,27382.94,27682.81,27682.81,392770000.00
"Oct 01, 2020",27940.63,28041.46,27669.26,27816.90,27816.90,373450000.00
"Sep 30, 2020",27514.64,28026.33,27511.06,27781.70,27781.70,452550000.00
"Sep 29, 2020",27560.24,27605.60,27338.09,27452.66,27452.66,303820000.00
"Sep 28, 2020",27362.14,27722.60,27362.14,27584.06,27584.06,401860000.00
"Sep 25, 2020",26694.51,27239.29,26635.38,27173.96,27173.96,388900000.00
"Sep 24, 2020",26716.09,27094.85,26537.01,26815.44,26815.44,447810000.00
"Sep 23, 2020",27413.60,27464.46,26716.12,26763.13,26763.13,459470000.00
"Sep 22, 2020",27170.34,27333.09,26989.93,27288.18,27288.18,420720000.00
"Sep 21, 2020",27484.71,27484.71,26715.15,27147.70,27147.70,523660000.00
"Sep 18, 2020",27864.87,27946.69,27487.97,27657.42,27657.42,698710000.00
"Sep 17, 2020",27834.18,28056.79,27647.93,27901.98,27901.98,437230000.00
"Sep 16, 2020",28031.69,28364.77,28021.67,28032.38,28032.38,416650000.00
"Sep 15, 2020",28139.76,28231.06,27931.45,27995.60,27995.60,414520000.00
"Sep 14, 2020",27718.74,28086.06,27718.74,27993.33,27993.33,380750000.00
"Sep 11, 2020",27613.86,27828.82,27448.15,27665.64,27665.64,435330000.00
"Sep 10, 2020",28022.51,28174.78,27447.08,27534.58,27534.58,442850000.00
"Sep 09, 2020",27711.71,28206.21,27704.54,27940.47,27940.47,460590000.00
"Sep 08, 2020",27925.23,27925.23,27464.90,27500.89,27500.89,580860000.00
"Sep 04, 2020",28341.05,28539.75,27664.68,28133.31,28133.31,694640000.00
"Sep 03, 2020",29090.70,29199.35,28074.76,28292.73,28292.73,650080000.00
"Sep 02, 2020",28736.79,29162.88,28713.53,29100.50,29100.50,539510000.00
"Sep 01, 2020",28439.61,28659.26,28290.72,28645.66,28645.66,423410000.00
"Aug 31, 2020",28643.66,28643.66,28363.55,28430.05,28430.05,517320000.00
"Aug 28, 2020",28601.29,28733.35,28487.98,28653.87,28653.87,369740000.00
"Aug 27, 2020",28384.07,28634.22,28363.93,28492.27,28492.27,404340000.00
"Aug 26, 2020",28257.88,28353.80,28153.91,28331.92,28331.92,327070000.00
"Aug 25, 2020",28347.42,28400.74,28094.57,28248.44,28248.44,338420000.00
"Aug 24, 2020",28077.58,28314.94,28041.75,28308.46,28308.46,383880000.00
"Aug 21, 2020",27758.13,27959.48,27686.78,27930.33,27930.33,372720000.00
"Aug 20, 2020",27622.68,27781.46,27526.25,27739.73,27739.73,304550000.00
"Aug 19, 2020",27811.26,27920.42,27647.67,27692.88,27692.88,311460000.00
"Aug 18, 2020",27853.48,27891.12,27668.79,27778.07,27778.07,276170000.00
"Aug 17, 2020",27970.05,27999.81,27816.40,27844.91,27844.91,286860000.00
"Aug 14, 2020",27828.93,27977.81,27759.39,27931.02,27931.02,275540000.00
"Aug 13, 2020",27922.51,27986.10,27789.78,27896.72,27896.72,360160000.00
"Aug 12, 2020",27860.24,28043.89,27843.32,27976.84,27976.84,340210000.00
"Aug 11, 2020",27961.64,28154.88,27624.51,27686.91,27686.91,428220000.00
"Aug 10, 2020",27488.21,27803.86,27488.21,27791.44,27791.44,360340000.00
"Aug 07, 2020",27321.68,27456.24,27223.55,27433.48,27433.48,321170000.00
"Aug 06, 2020",27170.82,27394.10,27145.25,27386.98,27386.98,322460000.00
"Aug 05, 2020",26924.78,27221.67,26924.78,27201.52,27201.52,366000000.00
"Aug 04, 2020",26664.61,26832.72,26597.82,26828.47,26828.47,346350000.00
"Aug 03, 2020",26542.32,26707.26,26534.38,26664.40,26664.40,439380000.00
"Jul 31, 2020",26409.33,26440.02,26013.59,26428.32,26428.32,488050000.00
"Jul 30, 2020",26367.42,26374.93,25992.28,26313.65,26313.65,351540000.00
"Jul 29, 2020",26388.44,26602.45,26375.39,26539.57,26539.57,347580000.00
"Jul 28, 2020",26529.45,26556.84,26361.71,26379.28,26379.28,361090000.00
"Jul 27, 2020",26447.67,26625.46,26426.92,26584.77,26584.77,400930000.00
"Jul 24, 2020",26533.41,26625.70,26402.86,26469.89,26469.89,494170000.00
"Jul 23, 2020",26955.97,26973.85,26560.04,26652.33,26652.33,419800000.00
"Jul 22, 2020",26824.56,27035.24,26794.19,27005.84,27005.84,404340000.00
"Jul 21, 2020",26833.14,27025.38,26766.22,26840.40,26840.40,364930000.00
"Jul 20, 2020",26660.29,26765.02,26504.20,26680.87,26680.87,309390000.00
"Jul 17, 2020",26774.62,26808.43,26619.88,26671.95,26671.95,296460000.00
"Jul 16, 2020",26746.57,26879.16,26590.01,26734.71,26734.71,287330000.00
"Jul 15, 2020",27009.81,27071.33,26692.48,26870.10,26870.10,384900000.00
"Jul 14, 2020",26044.17,26690.52,25994.98,26642.59,26642.59,401640000.00
"Jul 13, 2020",26225.07,26639.09,26044.23,26085.80,26085.80,425320000.00
"Jul 10, 2020",25690.35,26101.32,25637.50,26075.30,26075.30,338170000.00
"Jul 09, 2020",26094.92,26103.28,25523.51,25706.09,25706.09,387610000.00
"Jul 08, 2020",25950.06,26109.49,25816.25,26067.28,26067.28,337300000.00
"Jul 07, 2020",26172.01,26174.93,25866.58,25890.18,25890.18,346820000.00
"Jul 06, 2020",25996.08,26297.53,25996.08,26287.03,26287.03,340690000.00
"Jul 02, 2020",25936.45,26204.41,25778.12,25827.36,25827.36,349130000.00
"Jul 01, 2020",25879.38,26019.31,25713.61,25734.97,25734.97,373180000.00
"Jun 30, 2020",25512.43,25905.38,25475.14,25812.88,25812.88,410780000.00
"Jun 29, 2020",25152.45,25601.15,25096.16,25595.80,25595.80,378070000.00
"Jun 26, 2020",25641.69,25641.69,24971.03,25015.55,25015.55,640860000.00
"Jun 25, 2020",25365.22,25769.61,25209.79,25745.60,25745.60,384560000.00
"Jun 24, 2020",25992.96,25992.96,25296.73,25445.94,25445.94,450120000.00
"Jun 23, 2020",26159.39,26314.97,26105.97,26156.10,26156.10,389980000.00
"Jun 22, 2020",25865.08,26059.81,25667.68,26024.96,26024.96,351780000.00
"Jun 19, 2020",26213.10,26451.44,25759.66,25871.46,25871.46,669390000.00
"Jun 18, 2020",26016.45,26154.20,25848.53,26080.10,26080.10,328390000.00
"Jun 17, 2020",26330.52,26400.07,26068.41,26119.61,26119.61,328830000.00
"Jun 16, 2020",26326.68,26611.03,25811.70,26289.98,26289.98,489500000.00
"Jun 15, 2020",25270.39,25891.58,24843.18,25763.16,25763.16,461230000.00
"Jun 12, 2020",25659.42,25965.55,25078.41,25605.54,25605.54,514440000.00
"Jun 11, 2020",26282.51,26294.08,25082.72,25128.17,25128.17,647780000.00
"Jun 10, 2020",27251.89,27355.22,26938.05,26989.99,26989.99,448930000.00
"Jun 09, 2020",27447.37,27447.37,27151.06,27272.30,27272.30,381430000.00
"Jun 08, 2020",27232.93,27580.21,27232.48,27572.44,27572.44,430200000.00
"Jun 05, 2020",26836.80,27338.30,26836.80,27110.98,27110.98,542310000.00
"Jun 04, 2020",26226.49,26384.10,26082.31,26281.82,26281.82,372190000.00
"Jun 03, 2020",25906.88,26337.75,25906.88,26269.89,26269.89,398790000.00
"Jun 02, 2020",25582.52,25743.13,25523.74,25742.65,25742.65,352610000.00
"Jun 01, 2020",25342.99,25508.83,25220.66,25475.02,25475.02,338310000.00
"May 29, 2020",25324.15,25482.80,25031.67,25383.11,25383.11,527620000.00
"May 28, 2020",25697.36,25758.79,25358.73,25400.64,25400.64,377800000.00
"May 27, 2020",25298.63,25551.56,25009.87,25548.27,25548.27,411230000.00
"May 26, 2020",24781.84,25176.42,24781.84,24995.11,24995.11,424380000.00
"May 22, 2020",24461.98,24481.64,24294.07,24465.16,24465.16,255660000.00
"May 21, 2020",24564.27,24718.46,24370.88,24474.12,24474.12,346770000.00
"May 20, 2020",24455.94,24649.48,24455.94,24575.90,24575.90,366510000.00
"May 19, 2020",24577.48,24599.50,24202.96,24206.86,24206.86,374100000.00
"May 18, 2020",24059.98,24708.54,24059.98,24597.37,24597.37,484190000.00
"May 15, 2020",23454.83,23730.08,23354.15,23685.42,23685.42,491510000.00
"May 14, 2020",23049.06,23630.86,22789.62,23625.34,23625.34,472700000.00
"May 13, 2020",23702.16,23708.90,23067.64,23247.97,23247.97,469950000.00
"May 12, 2020",24292.84,24382.09,23761.58,23764.78,23764.78,359480000.00
"May 11, 2020",24256.45,24366.21,24070.22,24221.99,24221.99,352400000.00
"May 08, 2020",24107.82,24349.90,24107.05,24331.32,24331.32,335760000.00
"May 07, 2020",23837.21,24094.62,23834.39,23875.89,23875.89,369890000.00
"May 06, 2020",23978.88,24054.59,23661.14,23664.64,23664.64,377450000.00
"May 05, 2020",23958.88,24169.72,23868.91,23883.09,23883.09,369710000.00
"May 04, 2020",23581.55,23769.56,23361.16,23749.76,23749.76,355360000.00
"May 01, 2020",24120.78,24120.78,23645.30,23723.69,23723.69,418160000.00
"Apr 30, 2020",24585.57,24585.57,24186.90,24345.72,24345.72,487840000.00
"Apr 29, 2020",24490.37,24764.77,24453.99,24633.86,24633.86,455290000.00
"Apr 28, 2020",24357.17,24512.24,24031.20,24101.55,24101.55,400250000.00
"Apr 27, 2020",23866.15,24207.65,23840.61,24133.78,24133.78,389390000.00
"Apr 24, 2020",23628.24,23826.00,23417.68,23775.27,23775.27,376020000.00
"Apr 23, 2020",23543.09,23885.36,23483.35,23515.26,23515.26,389290000.00
"Apr 22, 2020",23437.34,23613.10,23339.60,23475.82,23475.82,352880000.00
"Apr 21, 2020",23365.25,23365.25,22941.88,23018.88,23018.88,485140000.00
"Apr 20, 2020",24095.10,24108.69,23627.19,23650.44,23650.44,423410000.00
"Apr 17, 2020",23817.15,24264.21,23817.15,24242.49,24242.49,525950000.00
"Apr 16, 2020",23543.66,23598.08,23211.38,23537.68,23537.68,471050000.00
"Apr 15, 2020",23600.72,23649.72,23233.32,23504.35,23504.35,437630000.00
"Apr 14, 2020",23690.57,24040.58,23683.44,23949.76,23949.76,485910000.00
"Apr 13, 2020",23698.93,23698.93,23095.35,23390.77,23390.77,394320000.00
"Apr 09, 2020",23690.66,24008.99,23504.09,23719.37,23719.37,566400000.00
"Apr 08, 2020",22893.47,23513.40,22682.99,23433.57,23433.57,472740000.00
"Apr 07, 2020",23537.44,23617.24,22634.45,22653.86,22653.86,594660000.00
"Apr 06, 2020",21693.63,22783.45,21693.63,22679.99,22679.99,610760000.00
"Apr 03, 2020",21285.93,21447.81,20863.09,21052.53,21052.53,450010000.00
"Apr 02, 2020",20819.46,21477.77,20735.02,21413.44,21413.44,529540000.00
"Apr 01, 2020",21227.38,21487.24,20784.43,20943.51,20943.51,506680000.00
"Mar 31, 2020",22208.42,22480.37,21852.08,21917.16,21917.16,571210000.00
"Mar 30, 2020",21678.22,22378.09,21522.08,22327.48,22327.48,545540000.00
"Mar 27, 2020",21898.47,22327.57,21469.27,21636.78,21636.78,588830000.00
"Mar 26, 2020",21468.38,22595.06,21427.10,22552.17,22552.17,705180000.00
"Mar 25, 2020",21050.34,22019.93,20538.34,21200.55,21200.55,796320000.00
"Mar 24, 2020",19722.19,20737.70,19649.25,20704.91,20704.91,799340000.00
"Mar 23, 2020",19028.36,19121.01,18213.65,18591.93,18591.93,787970000.00
"Mar 20, 2020",20253.15,20531.26,19094.27,19173.98,19173.98,872290000.00
"Mar 19, 2020",19830.01,20442.63,19177.13,20087.19,20087.19,780300000.00
"Mar 18, 2020",20188.69,20489.33,18917.46,19898.92,19898.92,871360000.00
"Mar 17, 2020",20487.05,21379.35,19882.26,21237.38,21237.38,793060000.00
"Mar 16, 2020",20917.53,21768.28,20116.46,20188.52,20188.52,770130000.00
"Mar 13, 2020",21973.82,23189.76,21285.37,23185.62,23185.62,843080000.00
"Mar 12, 2020",22184.71,22837.95,21154.46,21200.62,21200.62,908260000.00
"Mar 11, 2020",24604.63,24604.63,23328.32,23553.22,23553.22,663960000.00
"Mar 10, 2020",24453.00,25020.99,23690.34,25018.16,25018.16,654860000.00
"Mar 09, 2020",24992.36,24992.36,23706.07,23851.02,23851.02,750430000.00
"Mar 06, 2020",25457.21,25994.38,25226.62,25864.78,25864.78,599780000.00
"Mar 05, 2020",26671.92,26671.92,25943.33,26121.28,26121.28,477370000.00
"Mar 04, 2020",26383.68,27102.34,26286.31,27090.86,27090.86,457590000.00
"Mar 03, 2020",26762.47,27084.59,25706.28,25917.41,25917.41,647080000.00
"Mar 02, 2020",25590.51,26706.17,25391.96,26703.32,26703.32,637200000.00
"Feb 28, 2020",25270.83,25494.24,24681.01,25409.36,25409.36,915990000.00
"Feb 27, 2020",26526.00,26775.31,25752.82,25766.64,25766.64,664980000.00
"Feb 26, 2020",27159.46,27542.78,26890.97,26957.59,26957.59,472450000.00
"Feb 25, 2020",28037.65,28149.20,26997.62,27081.36,27081.36,513270000.00
"Feb 24, 2020",28402.93,28402.93,27912.44,27960.80,27960.80,452580000.00
"Feb 21, 2020",29146.53,29146.53,28892.70,28992.41,28992.41,311210000.00
"Feb 20, 2020",29296.25,29368.45,28959.65,29219.98,29219.98,287780000.00
"Feb 19, 2020",29312.70,29409.09,29274.38,29348.03,29348.03,240640000.00
"Feb 18, 2020",29282.78,29330.16,29116.81,29232.19,29232.19,256600000.00
"Feb 14, 2020",29440.47,29463.04,29283.18,29398.08,29398.08,231000000.00
"Feb 13, 2020",29436.03,29535.40,29345.93,29423.31,29423.31,291150000.00
"Feb 12, 2020",29406.75,29568.57,29406.75,29551.42,29551.42,309530000.00
"Feb 11, 2020",29390.71,29415.39,29210.47,29276.34,29276.34,279540000.00
"Feb 10, 2020",28995.66,29278.07,28995.66,29276.82,29276.82,250510000.00
"Feb 07, 2020",29286.92,29286.92,29056.98,29102.51,29102.51,252860000.00
"Feb 06, 2020",29388.58,29408.05,29246.93,29379.77,29379.77,263700000.00
"Feb 05, 2020",29048.73,29308.89,29000.85,29290.85,29290.85,357540000.00
"Feb 04, 2020",28696.74,28904.88,28696.74,28807.63,28807.63,332750000.00
"Feb 03, 2020",28319.65,28630.39,28319.65,28399.81,28399.81,307910000.00
"Jan 31, 2020",28813.04,28813.04,28169.53,28256.03,28256.03,403890000.00
"Jan 30, 2020",28640.16,28879.71,28489.76,28859.44,28859.44,326850000.00
"Jan 29, 2020",28820.53,28944.24,28728.19,28734.45,28734.45,302290000.00
"Jan 28, 2020",28594.28,28823.23,28575.75,28722.85,28722.85,330140000.00
"Jan 27, 2020",28542.49,28671.79,28440.47,28535.80,28535.80,337270000.00
"Jan 24, 2020",29230.39,29288.79,28843.31,28989.73,28989.73,380010000.00
"Jan 23, 2020",29111.02,29190.47,28966.98,29160.09,29160.09,307060000.00
"Jan 22, 2020",29263.63,29320.20,29172.26,29186.27,29186.27,283440000.00
"Jan 21, 2020",29269.05,29341.21,29146.47,29196.04,29196.04,320640000.00
"Jan 17, 2020",29313.31,29373.62,29289.91,29348.10,29348.10,321820000.00
"Jan 16, 2020",29131.95,29300.32,29131.95,29297.64,29297.64,252110000.00
"Jan 15, 2020",28901.80,29127.59,28897.35,29030.22,29030.22,260270000.00
"Jan 14, 2020",28895.50,29054.16,28872.27,28939.67,28939.67,287440000.00
"Jan 13, 2020",28869.01,28909.91,28819.43,28907.05,28907.05,249830000.00
"Jan 10, 2020",28977.52,29009.07,28789.10,28823.77,28823.77,237830000.00
"Jan 09, 2020",28851.97,28988.01,28844.31,28956.90,28956.90,275060000.00
"Jan 08, 2020",28556.14,28866.18,28522.51,28745.09,28745.09,291750000.00
"Jan 07, 2020",28639.18,28685.50,28565.28,28583.68,28583.68,258900000.00
"Jan 06, 2020",28465.50,28708.02,28418.63,28703.38,28703.38,252760000.00
"Jan 03, 2020",28553.33,28716.31,28500.36,28634.88,28634.88,239590000.00
"Jan 02, 2020",28638.97,28872.80,28627.77,28868.80,28868.80,251820000.00
"Dec 31, 2019",28414.64,28547.35,28376.49,28538.44,28538.44,193340000.00
